tweet_id,username,text,created_at
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1903212785909088348,rafalejov,Rafael Romo es todo lo que sueña ser el Dibu Martínez. https://t.co/InIYOEm9EA,2025-03-21T22:31:02.000Z
1903210386918088869,rafalejov,RT @rafalejov: La realidad es que no nos da para ir a un Mundial. Prefiero que vuelva el formato con 32 equipos. Si me quedo fuera que sea…,2025-03-21T22:21:30.000Z
1903210219158594000,rafalejov,Se viene el Pico Vargas papá ahora si a remontar,2025-03-21T22:20:50.000Z
1903209736801050922,rafalejov,Estoy consternado con lo malos que somos,2025-03-21T22:18:55.000Z
1903207960291184673,rafalejov,La realidad es que no nos da para ir a un Mundial. Prefiero que vuelva el formato con 32 equipos. Si me quedo fuera que sea con 4.5 cupos no pasando el 70% de CONMEBOL.,2025-03-21T22:11:52.000Z
1903230167352328459,rafalejov,Si se mantenía en su pensamiento sí pero resultó que jalarle bola a enchufados renta más https://t.co/BcTMYbc10f,2025-03-21T23:40:06.000Z
1903230037614010424,rafalejov,@LuisjLunar97 Correcto entró por el palo del arquero,2025-03-21T23:39:35.000Z
1903228254598860986,rafalejov,Venezuela no está capacitada para ir a una Copa del Mundo. https://t.co/kUsIOLr6VN,2025-03-21T23:32:30.000Z
1903215617450160612,rafalejov,Se están cayendo a coñazo en la grada? Vi varios con camisetas del Táchira,2025-03-21T22:42:17.000Z
1903212848848801908,rafalejov,RT @rafalejov: ¿El Dibu Martínez? No gracias yo soy más de Rafa Romo.

EL MEJOR ATAJADOR DE PENALES DEL MUNDO. https://t.co/zh1I08JPxl,2025-03-21T22:31:17.000Z
1809736445055152258,rafalejov,@NiggaRarg Obviamente bien por Salo pero no me sube el animo eso,2024-07-06T23:49:26.000Z
1809736445055152258,rafalejov,@NiggaRarg Obviamente bien por Salo pero no me sube el animo eso,2024-07-06T23:49:26.000Z
1809736445055152258,rafalejov,@NiggaRarg Obviamente bien por Salo pero no me sube el animo eso,2024-07-06T23:49:26.000Z
1809711415453725174,jpeseteiroDT,Volveremos 🇻🇪 https://t.co/0ZFZeq7Qqj,2024-07-06T22:09:58.000Z
1809694217414881422,jpeseteiroDT,@DavooXeneizeJRR Panas 🇻🇪🇦🇷,2024-07-06T21:01:38.000Z
1809649334981443862,jpeseteiroDT,Todos fuimos el https://t.co/xVbgz8TY4M,2024-07-06T18:03:17.000Z
1809618779175022929,jpeseteiroDT,Con el código : peseteiro1 obtienes un bono del 50% en tu primer depósito 🚨💰

https://t.co/lmGTnDAlh5,2024-07-06T16:01:52.000Z
1809615267057791196,jpeseteiroDT,https://t.co/moPh9e8XGm https://t.co/LavsrDYtRe,2024-07-06T15:47:55.000Z
